row_id,split,transcript_id,text_clean,subcluster_id,ax3_subcluster_name,ax3_subcluster_status
work_0012::10,workforce,work_0012,As it gets better I will lean on it more and more to help me with tasks. I see it being useful for a lot more collaboration as it can handle more complexity.,0,Intégration progressive de l'IA dans le travail,periphery
work_0073::8,workforce,work_0073,"It will continue as a double-edged sword for a while. I'll be somewhat reluctant in some respects, but I'll also embrace the positive aspects - I think that it will be necessary in order to stay relevant and ahead of the curve.",0,Intégration progressive de l'IA dans le travail,periphery
work_0088::10,workforce,work_0088,"I feel that I would use it more in my work day, it might even take over certain steps for me, allowing me to dedicate time during the day to other areas. So I feel positive about the near future and what that might look like for me.",0,Intégration progressive de l'IA dans le travail,periphery
work_0136::9,workforce,work_0136,"I think I will only ever use it for repetitive boring tasks, like I said I really enjoy completing the design process myself. I would possibly consider using it for design ideas if I was stuck, for example asking for text based descriptions of logo ideas and creating them myself.",0,Intégration progressive de l'IA dans le travail,periphery
work_0158::8,workforce,work_0158,"At the minute I think I'll use it the same way, perhaps even less when I get more familiar in the kitchen and better with time management. On the other hand though, when i'm trusted with more work load as well as more difficult stuff i'll end up going back to it again.",0,Intégration progressive de l'IA dans le travail,periphery
work_0192::10,workforce,work_0192,"It will start to become more 'embedded' in my work, like, automatic, and part of the standard procedures, as opposed to now when it is more an 'extra'.",0,Intégration progressive de l'IA dans le travail,periphery
work_0211::8,workforce,work_0211,"I hope to continue to use it more and more for tasks I see as boring and rote - for example, grading homework or labs.",0,Intégration progressive de l'IA dans le travail,periphery
work_0239::8,workforce,work_0239,"No, it's not something I've thought about. My line of work isn't particularly swift in adapting new technology so I feel like it would take a long time until we would be in that position",0,Intégration progressive de l'IA dans le travail,periphery
work_0244::10,workforce,work_0244,"i consider it, but am not actively working on it",0,Intégration progressive de l'IA dans le travail,periphery
work_0244::11,workforce,work_0244,I think i will rely more and more on it until it is most of my job,0,Intégration progressive de l'IA dans le travail,periphery
work_0254::11,workforce,work_0254,I imagine I will use it more as it gets better and better.,0,Intégration progressive de l'IA dans le travail,periphery
work_0260::13,workforce,work_0260,I don't really know - maybe just more everywhere? I suppose I'll come to rely on it more heavily as it becomes better at understanding prompts from someone struggling to understand a problem.,0,Intégration progressive de l'IA dans le travail,periphery
work_0358::13,workforce,work_0358,i think I will continue to use it and refine the ways I use it to make it work for me and what I need to get out of it,0,Intégration progressive de l'IA dans le travail,periphery
work_0365::12,workforce,work_0365,it was a small hobby project. i abandoned it,0,Intégration progressive de l'IA dans le travail,periphery
work_0380::11,workforce,work_0380,"I will keep using it for research and problem-solving, and I think I could utilize it further for growing my business.",0,Intégration progressive de l'IA dans le travail,periphery
work_0398::12,workforce,work_0398,I see myself trying to expand my uses beyond what I am currently using it for,0,Intégration progressive de l'IA dans le travail,periphery
work_0419::10,workforce,work_0419,"I'll continue to use it and I plan to keep up with developments to take advantage of new abilities as they're released. As it gets better, I'll get better.",0,Intégration progressive de l'IA dans le travail,periphery
work_0509::9,workforce,work_0509,"I would like to be able to start to use it for more menial tasks like checking the fit for products, creating reports on my software for my models. I hope to use it more but for different reasons than I am now",0,Intégration progressive de l'IA dans le travail,periphery
work_0539::13,workforce,work_0539,"For now, it is quite useful. We'll see in the future",0,Intégration progressive de l'IA dans le travail,periphery
work_0585::11,workforce,work_0585,"Absolutely, but I have no idea where it's going to take us. Right now I use it as a tool. In time I may give it more allowance to create.",0,Intégration progressive de l'IA dans le travail,periphery
work_0586::14,workforce,work_0586,"I don't think so. I like to keep it as a tool so my skills continue to grow, and not completely rely on it",0,Intégration progressive de l'IA dans le travail,periphery
work_0591::11,workforce,work_0591,"I think the more I and my peers use it, the more we will learn from it, probably the less we will need it. because we will see what we are missing. But we might use it in other places of our work.",0,Intégration progressive de l'IA dans le travail,periphery
work_0627::13,workforce,work_0627,I feel like it could become a substitute for a lot of what I do. I do consider it and try to see where/when my skills will be lapped by AI and be replaced.,0,Intégration progressive de l'IA dans le travail,periphery
work_0628::14,workforce,work_0628,I think it will be a positive thing as I can interact with AI and use it as a help rather than being completely replaced,0,Intégration progressive de l'IA dans le travail,periphery
